en_key,type,official_zh,youmin_zh,portal_zh,baha_zht,recommended_zh,aliases,conflict,evidence
Employee,Entity,,,员工,員工,员工,队友,官方未翻,B站cv31058075;巴哈bsn=79130 snA=183
Baboon Hawk,Entity,狒狒鹰,翼猿/狒狒鹰,狒狒鹰(又称怪鸟、跳跳鸟)/狒狒,狒狒鷹(圖鑑帖:翼猿),狒狒鹰,翼猿;怪鸟;跳跳鸟;狒狒,,官方map;游民1680514_12+1679413_4;3DM gl3925654_24;巴哈snA=7
Backwater Gunkfish,Entity,回水黏鱼,,,,回水黏鱼,,,官方map(三路社区均未覆盖、新版本怪物)
Barber,Entity,理发师,,理发师,理髮師(俗稱剪刀),理发师,剪刀,,官方map;3DM news/202407/3898751;巴哈snA=7
Bracken,Entity,蕨影,蕨影/小黑,花人布雷肯(又称花人、背刺怪)/蕨类,布萊肯/花男(圖鑑帖:蕨影),蕨影,小黑;花人;布雷肯;背刺怪;蕨类;花男,,官方map;游民1680514_6+1679413_15;3DM gl3925654_23;巴哈snA=7
Bunker Spider,Entity,地堡蜘蛛,地堡巨蛛/地堡蜘蛛,地堡蛛/蜘蛛、碉堡蜘蛛,蜘蛛(圖鑑帖:地堡巨蛛),地堡蜘蛛,地堡巨蛛;地堡蛛;碉堡蜘蛛;蜘蛛,,官方map;游民1680514_7+1679413_12;3DM gl3925654_13;巴哈snA=7
Butler,Entity,管家,,管家,屠夫(圖鑑帖:管家;俗稱老頭),管家,屠夫;老头,,官方map;B站cv31058075+BV1wM4m197qr;巴哈snA=7
Cadaver Bloom,Entity,,,(B站V81统称尸花丛/寄生花、无法区分Bloom与Growth),,,,全缺,官方wiki无zh-cn标题;B站cv31058075统称不可对齐;巴哈V80帖保留英文
Cadaver Growth,Entity,,,(同上、B站统称不可区分),,,,全缺,官方wiki无zh-cn标题;B站cv31058075统称不可对齐
Circuit Bees,Entity,电路蜂群,电击蜜蜂/电流蜂,电路蜜蜂/蜂群,迴路蜜蜂(圖鑑帖:電流蜜蜂/電蜂),电路蜂群,电击蜜蜂;电流蜂;电路蜜蜂;蜂群;电蜂,,官方map;游民1680514_11+1679413_3;3DM gl3925654_16;巴哈snA=7
Coil-Head,Entity,弹簧头,线圈头/弹簧头,线圈头(戏称SCP-173)/弹簧头,線圈頭(圖鑑帖:彈簧頭),弹簧头,线圈头;SCP-173,,官方map;游民1680514_5+1679413_14;3DM gl3925654_30;巴哈snA=7
Earth Leviathan,Entity,大地利维坦,隐地利维坦/地球利维坦,利维坦(又称沙虫),沙蟲,大地利维坦,沙虫;利维坦;隐地利维坦;地球利维坦,,官方map;游民1680514_17+1679413_7;3DM gl3925654_27;巴哈snA=7
Eyeless Dog,Entity,无眼狗,无眼猎犬/无眼狗,无眼狗(又称狗子、盲犬)/无眼猎犬,無眼狗(俗稱聽力狗),无眼狗,无眼猎犬;狗子;盲犬;听力狗,,官方map;游民1680514_13+1679413_5;3DM gl3925654_18;巴哈snA=7
Feiopar,Entity,翡奥帕,,,,翡奥帕,,,官方map(三路社区均未覆盖、2025+新实体)
Forest Keeper,Entity,森林守护者,森林守卫/森林守护者,森林巨人、森林守护者/巨人,森林泰坦(圖鑑帖:森林守衛;俗稱巨人),森林守护者,森林守卫;森林巨人;巨人;森林泰坦,,官方map;游民1680514_15+1679413_6;3DM gl3925654_20;巴哈snA=7
Ghost Girl,Entity,幽灵小女孩,红衣女孩/红衣小女孩,幽灵女孩/小女孩/女鬼,小女孩,幽灵小女孩,红衣小女孩;红衣女孩;幽灵女孩;小女孩;女鬼,,官方map;游民1680514_9+1679413_17;3DM gl3925654_21;巴哈snA=7
Giant Sapsucker,Entity,巨型啄木鸟,,啄木鸟(B站V81),,巨型啄木鸟,啄木鸟,,官方map;B站cv31058075;巴哈V70帖(snA=177)保留英文
Hoarding Bug,Entity,囤积虫,贪财翅虫/囤积虫,囤积虫/掠夺虫,跳蚤(圖鑑帖:囤積蟲;口語:蟑螂),囤积虫,贪财翅虫;掠夺虫;跳蚤;蟑螂,,官方map;游民1680514_1+1679413_8;3DM gl3925654_26;巴哈snA=7
Hygrodere,Entity,湿滑胶体,史莱姆,史莱姆,史萊姆,湿滑胶体,史莱姆,,官方map;游民1680514_4+1679413_9;3DM gl3925654_22;巴哈snA=7
Jester,Entity,小丑盒子,小丑魔盒/盒子精,怪物箱(又称惊吓盒、宝箱怪)/小丑盒/音乐盒,小丑盒(圖鑑帖:小丑魔盒;俗稱音樂盒),小丑盒子,小丑魔盒;盒子精;怪物箱;惊吓盒;宝箱怪;小丑盒;音乐盒;八音盒;小丑,,官方map;游民1680514_8+1679413_16;3DM gl3925654_29;巴哈snA=7;八音盒/小丑:游民1679604_12+九游9game.cn/zhiminggongsi/9644386+光环助手ghzs.com/zmgsLethalCompany/21887+游侠gl.ali213.net/html/2023-12/1247505
Kidnapper fox,Entity,绑匪狐狸,,绑架狐狸(3DM新闻)/狐狸(B站V81),(僅英文Kidnapper Fox/泛稱狐狸),绑匪狐狸,绑架狐狸;狐狸,,官方map;3DM news/202407/3898751;B站cv31058075;巴哈snA=184
Lasso Man,Entity,套索人,,,,套索人,,,官方map(三路社区均未覆盖、未实装彩蛋类)
Maneater,Entity,食人魔,,食人魔(B站),食人蟲(俗稱小寶寶),食人魔,食人虫;小宝宝,,官方map;B站cv31058075+BV1MAWcePEHM;巴哈snA=7
Manticoil,Entity,四翼鸟,四翼山雀/四翼鸟,山雀(又称四翼鸟)/蜻蜓鸟,鳥(僅泛稱、無專名),四翼鸟,四翼山雀;山雀;蜻蜓鸟,,官方map;游民1680514_10+1679413_2;3DM gl3925654_19;巴哈snA=2
Mask Hornets,Entity,,,,面具蟲,面具虫,,官方未翻;仅单源(巴哈繁中、转简),官方map(Mask Hornets/zh-cn未翻);巴哈snA=7
Masked,Entity,覆面者,,面具人(B站图鉴)/假人(B站V81),面具(怪),覆面者,面具人;假人;面具怪;假面,,官方map;B站cv31749491+cv31058075;巴哈snA=7;假面出自光环助手/3DM(游民gap注)
Nutcracker,Entity,胡桃夹子,,胡桃夹子(又称士兵),胡桃鉗(俗稱士兵),胡桃夹子,士兵;胡桃钳,,官方map;3DM gl3925654_28;B站cv31058075;巴哈snA=7
Old Bird,Entity,老鸟,,老鸟/机器鸟,老鳥,老鸟,机器鸟,,官方map;B站cv31058075+BV1jK421Y7ks;巴哈snA=7
Red Pill,Entity,,,,,,,全缺,官方wiki无zh-cn标题;三路社区均未覆盖
Roaming Locusts,Entity,漫游蝗虫,漫游蝗虫/蝗虫,漫游蝗虫/蝗虫,遊蕩蚊蟲,漫游蝗虫,蝗虫;游荡蚊虫,,官方map;游民1680514_16+1679413_1;3DM gl3925654_15;巴哈snA=7
Snare Flea,Entity,缠缚蚤,潜匿蜈蚣/抱脸虫,陷阱跳蚤(又称蜈蚣、抱脸虫),蜈蚣(又稱抱臉蟲),缠缚蚤,抱脸虫;蜈蚣;潜匿蜈蚣;陷阱跳蚤;捕网跳蚤,,官方map;游民1680514_2+1679413_11;3DM gl3925654_14;巴哈snA=7;捕网跳蚤:游侠gl.ali213.net/html/2023-11/1236951
Spore Lizard,Entity,孢子蜥蜴,孢子蜥蜴,孢子蜥蜴,毒蜥蜴(圖鑑帖:胞子蜥蜴),孢子蜥蜴,毒蜥蜴;胞子蜥蜴,,官方map;游民1680514_14+1679413_10;3DM gl3925654_31;巴哈snA=7
Thumper,Entity,打击者,重拳猛鱼/打击者,半身怪(又称大嘴怪)/半身鱼,撞擊者/衝撞者(圖鑑帖:重拳猛魚、俗稱車力),打击者,重拳猛鱼;半身怪;大嘴怪;半身鱼;撞击者;冲撞者;车力,,官方map;游民1680514_3+1679413_13;3DM gl3925654_25;巴哈snA=7
Tulip Snake,Entity,郁金香蛇,,郁金香蛇,草麝蛇(俗稱蝙蝠),郁金香蛇,草麝蛇;蝙蝠,,官方map;B站BV1KSDSYHEk8;巴哈snA=182
Adamance,Moon,,,,,Adamance,20-Adamance,官方未翻;社区均保留英文,官方map;B站cv31058075(20 - Adamance);巴哈snA=2;3DM新闻仅称V50新星球
Artifice,Moon,,,,,Artifice,隐藏_67-Artifice;Art,官方未翻;社区均保留英文,官方map(Artifice/zh-cn未翻);B站cv31058075+BV1QJ4m1V7kZ(缩写Art);巴哈snA=2
Assurance,Moon,,,保护区(惯称220 保护区),,Assurance,220-Assurance;保护区;220保护区,官方未翻;多源不一致(3DM意译/B站巴哈游民保留英文),官方map;3DM gl3925654_6;游民1679441(纯英文);B站cv31058075;巴哈snA=2
Dine,Moon,,,晚餐(惯称7 晚餐),戴因(亦見遊戲內寫法7-Dine),Dine,7-Dine;晚餐;7晚餐;戴因,官方未翻;多源不一致(3DM意译/巴哈音译/B站游民英文),官方map;3DM gl3925654_11;巴哈snA=2+snA=94;B站cv31058075;游民1679441(纯英文)
Embrion,Moon,,,,,Embrion,隐藏_5-Embrion,官方未翻;社区均保留英文,官方map;B站cv31058075(隐藏_5 - Embrion);巴哈snA=2
Experimentation,Moon,,,实验室(惯称41 实验室),,Experimentation,41-Experimentation;实验室;41实验室,官方未翻;多源不一致(仅3DM意译、余皆英文),官方map;3DM gl3925654_5;游民1679441(纯英文);B站cv31058075;巴哈snA=2
Gordion,Moon,,公司大楼/公司(指代其上设施),公司大楼(3DM)/公司驻地(B站71-The Company building),(僅以公司指代、不用其名),Gordion,公司大楼;公司驻地;公司;71-The Company building;戈尔迪翁,官方未翻;多源不一致(社区均以设施名指代星球),官方map;游民1679397;3DM gl3925654_4;B站cv31058075;巴哈snA=165;戈尔迪翁:zh.wikipedia.org致命公司条目(71-戈尔迪翁(71-Gordion))
Liquidation,Moon,,,,,Liquidation,,官方未翻;全缺(三路社区均未覆盖),官方map
March,Moon,,,行军(惯称61 行军),,March,61-March;行军;61行军,官方未翻;多源不一致(仅3DM意译、余皆英文),官方map;3DM gl3925654_9;游民1679441(纯英文);B站cv31058075;巴哈snA=2
Offense,Moon,,,前线(惯称21 前线),,Offense,21-Offense;前线;21前线,官方未翻;多源不一致(仅3DM意译、余皆英文),官方map;3DM gl3925654_8;游民1679441(纯英文);B站cv31058075;巴哈snA=2
Rend,Moon,,,撕裂(惯称85 撕裂),瑞德,Rend,85-Rend;撕裂;85撕裂;瑞德,官方未翻;多源不一致(3DM意译/巴哈音译/B站游民英文),官方map;3DM gl3925654_10;巴哈snA=2;B站cv31058075;游民1679441(纯英文)
Titan,Moon,,,泰坦(惯称8 泰坦),泰坦,泰坦,8-Titan;8泰坦,官方未翻(社区一致用泰坦),官方map;3DM gl3925654_12;B站opus877099770021150724;巴哈snA=2;游民1679441(纯英文)
Vow,Moon,,,誓言(惯称56 誓言),,Vow,56-Vow;誓言;56誓言,官方未翻;多源不一致(仅3DM意译、余皆英文),官方map;3DM gl3925654_7;游民1679441(纯英文);B站cv31058075;巴哈snA=2
Airhorn,Tool,,空气喇叭,,,空气喇叭,喇叭;气喇叭,官方未翻;推荐名仅单源(游民、aliases为泛称/mod页称法),游民终端商店1679425;喇叭:街机岛m.jjdao.com/news/20240260657;气喇叭:3DM mod页dl.3dmgame.com/patch/288277;B站/巴哈未单独命名
Homemade flashbang,Tool,,,((闪光弹)自制版、3DM非正式称法),,土制闪光弹,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/;3DM gl3925654非正式称法(闪光弹)自制版
Key,Tool,钥匙,,,鑰匙,钥匙,,,官方map;巴哈snA=86
Kitchen knife,Tool,,,小刀(B站V81:击杀管家缴获),,小刀,菜刀,官方未翻,B站cv31058075;知乎zhuanlan.zhihu.com/p/1978924808969400533(小刀、双源);菜刀:B站BV1Gp421271y标题
Laser pointer,Tool,,,,,镭射指示器,镭射笔,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Remote,Tool,,,,,遥控器,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Shotgun,Tool,霰弹枪,,霰弹枪(B站掉落物称双管霰弹枪),散彈槍,霰弹枪,双管霰弹枪;散弹枪,,官方map;3DM gl3925654_38;B站cv31058075;巴哈snA=7
Stop sign,Tool,停止标志,,(3DM统称标志牌、未区分Stop/Yield),,停止标志,标志牌,,官方map;3DM gl3925654(统称)
Yield sign,Tool,让行标志,,(3DM统称标志牌、未区分Stop/Yield),,让行标志,标志牌,,官方map;3DM gl3925654(统称)
Ammo,Item,,,,,霰弹,弹药,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Apparatus,Item,发电装置,,(B站V81仅称电源/拔除电源;3DM称电源房、均非物品名),,发电装置,电源,,官方map;B站cv31058075;游民价格表图片化无文字出处
Bell,Item,,,,,黄铜铃,黄铜钟,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Belt bag,Item,,,腰包(B站V81:V64新增),,腰包,,官方未翻;仅单源(B站),B站cv31058075
Big bolt,Item,,,,,大型螺栓,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Binoculars,Item,,,,,望远镜,,官方未翻;汉化包单源(仅NakiriFox),汉化包NakiriFox简中包v2.5.0(Normal-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Body,Item,,,,,尸体,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Bone,Item,,,,骨頭,骨头,,官方未翻;仅单源(巴哈繁中、转简),巴哈snA=181
Boombox,Item,音响,音响,音响,音樂盒,音响,音乐盒,,官方map;游民1679045;3DM gl3925654_35;B站cv27889244;巴哈snA=4
Bottles,Item,,,,,一箱瓶子,瓶子,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Brush,Item,,,,,发梳,发刷;刷子,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Candy,Item,,,,,糖果,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Cash register,Item,,,,,收银机,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Chemical jug,Item,,,,,化学品罐,化学罐,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Clipboard,Item,剪贴板,,,,剪贴板,,,官方map
Clock,Item,,,,,时钟,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Clown horn,Item,,,,,小丑喇叭,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
